state,state_code,births,population_thousands,birth_rate_per_1000,date
Johor,JHR,56156,4107.2,13.67,1/1/2023
Kedah,KDH,33811,2189.3,15.44,1/1/2023
Kelantan,KTN,35705,1859.8,19.2,1/1/2023
Melaka,MLK,13583,1028.3,13.21,1/1/2023
Negeri Sembilan,NSN,16570,1224.9,13.53,1/1/2023
Pahang,PHG,24162,1643.2,14.7,1/1/2023
Perak,PRK,30759,2541.2,12.1,1/1/2023
Perlis,PLS,3878,293.1,13.23,1/1/2023
Pulau Pinang,PNG,19579,1772.6,11.05,1/1/2023
Sabah,SBH,46412,3596.7,12.9,1/1/2023
Sarawak,SWK,33920,2502.3,13.56,1/1/2023
Selangor,SGR,90535,7209.7,12.56,1/1/2023
Terengganu,TRG,26127,1210,21.59,1/1/2023
W.P. Kuala Lumpur,KUL,21442,2005.7,10.69,1/1/2023
W.P. Labuan,LBN,1409,99,14.23,1/1/2023
W.P. Putrajaya,PJY,1713,118.8,14.42,1/1/2023
